frame,x,y,w,h
0,475,102,29,30
1,474.948717935684,101.820512774891,28.9230769035245,29.9743589678416
2,474.897435884745,101.641025596604,28.846153827116,29.948717942372
3,474.846153833806,101.461538418317,28.7692307507075,29.9230769169025
4,474.794871782867,101.282051240031,28.6923076742989,29.897435891433
5,474.743589731928,101.102564061744,28.6153845978904,29.8717948659635
6,474.692307680989,100.923076883458,28.5384615214818,29.846153840494
7,474.64102563005,100.743589705171,28.4615384450733,29.8205128150245
8,474.589743579111,100.564102526884,28.3846153686648,29.794871789555
9,474.538461528172,100.384615348598,28.3076922922562,29.7692307640854
10,474.487179477232,100.205128170311,28.2307692158477,29.7435897386159
11,474.435897426293,100.025640992025,28.1538461394391,29.7179487131464
12,474.384615375354,99.846153813738,28.0769230630306,29.6923076876769
13,474.333333324415,99.6666666354514,27.9999999866221,29.6666666622074
14,474.282051273476,99.4871794571648,27.9230769102135,29.6410256367379
15,474.230769222537,99.3076922788782,27.846153833805,29.6153846112684
16,474.179487171598,99.1282051005916,27.7692307573964,29.5897435857988
17,474.128205120659,98.948717922305,27.6923076809879,29.5641025603293
18,474.07692306972,98.7692307440184,27.6153846045794,29.5384615348598
19,474.025641018781,98.5897435657319,27.5384615281708,29.5128205093903
20,473.974358967842,98.4102563874453,27.4615384517623,29.4871794839208
21,473.923076916903,98.2307692091587,27.3846153753537,29.4615384584513
22,473.871794865964,98.0512820308721,27.3076922989452,29.4358974329818
23,473.820512815025,97.8717948525855,27.2307692225367,29.4102564075122
24,473.769230764086,97.6923076742989,27.1538461461281,29.3846153820427
25,473.717948713147,97.5128204960123,27.0769230697196,29.3589743565732
26,473.666666662208,97.3333333177257,26.999999993311,29.3333333311037
27,473.615384611269,97.1538461394391,26.9230769169025,29.3076923056342
28,473.56410256033,96.9743589611525,26.8461538404939,29.2820512801647
29,473.512820509391,96.7948717828659,26.7692307640854,29.2564102546951
30,473.461538458451,96.6153846045793,26.6923076876769,29.2307692292256
31,473.410256407512,96.4358974262927,26.6153846112683,29.2051282037561
32,473.358974356573,96.2564102480061,26.5384615348598,29.1794871782866
33,473.307692305634,96.0769230697196,26.4615384584512,29.1538461528171
34,473.256410254695,95.897435891433,26.3846153820427,29.1282051273476
35,473.205128203756,95.7179487131464,26.3076923056342,29.1025641018781
36,473.153846152817,95.5384615348598,26.2307692292256,29.0769230764085
37,473.102564101878,95.3589743565732,26.1538461528171,29.051282050939
38,473.051282050939,95.1794871782866,26.0769230764085,29.0256410254695
39,473,95,26,29
40,472.966666660201,94.7666666214045,26.2333333785953,29.0333333397994
41,472.93333332709,94.533333289632,26.4666667103679,29.0666666729097
42,472.89999999398,94.2999999578594,26.7000000421405,29.1000000060201
43,472.866666660869,94.0666666260868,26.9333333739131,29.1333333391305
44,472.833333327759,93.8333332943143,27.1666667056856,29.1666666722408
45,472.799999994649,93.5999999625417,27.4000000374582,29.2000000053512
46,472.766666661538,93.3666666307691,27.6333333692308,29.2333333384616
47,472.733333328428,93.1333332989965,27.8666667010034,29.2666666715719
48,472.699999995318,92.899999967224,28.1000000327759,29.3000000046823
49,472.666666662207,92.6666666354514,28.3333333645485,29.3333333377927
50,472.633333329097,92.4333333036788,28.5666666963211,29.366666670903
51,472.599999995987,92.1999999719063,28.8000000280937,29.4000000040134
52,472.566666662876,91.9666666401337,29.0333333598662,29.4333333371238
53,472.533333329766,91.7333333083611,29.2666666916388,29.4666666702341
54,472.499999996655,91.4999999765886,29.5000000234114,29.5000000033445
55,472.466666663545,91.266666644816,29.733333355184,29.5333333364549
56,472.433333330435,91.0333333130434,29.9666666869565,29.5666666695652
57,472.399999997324,90.7999999812708,30.2000000187291,29.6000000026756
58,472.366666664214,90.5666666494983,30.4333333505017,29.633333335786
59,472.333333331104,90.3333333177257,30.6666666822742,29.6666666688963
60,472.299999997993,90.0999999859531,30.9000000140468,29.7000000020067
61,472.266666664883,89.8666666541806,31.1333333458194,29.7333333351171
62,472.233333331773,89.633333322408,31.366666677592,29.7666666682274
